Folio,Cierre Esperado,Pagos Esperados,Pagos Realizados,Pagos Cubiertos,Avance Esperado,Avance Cumplido,Diferencia,Riesgo
503,1,44,1,2 %,100 %,0 %,"2342,6 %",Extremo
515,1,44,1,2 %,100 %,0 %,"2342,6 %",Extremo
505,1,44,2,5 %,100 %,2 %,"2230,7 %",Extremo
491,1,44,4,9 %,100 %,7 %,"2016,0 %",Extremo
492,1,44,4,9 %,100 %,7 %,"2016,0 %",Extremo
504,1,44,4,9 %,100 %,7 %,"2016,0 %",Extremo
460,1,36,2,6 %,100 %,3 %,"1826,5 %",Extremo
509,1,44,6,14 %,100 %,12 %,"1813,1 %",Extremo
497,1,36,3,8 %,100 %,6 %,"1716,0 %",Extremo
499,1,36,3,8 %,100 %,6 %,"1716,0 %",Extremo
464,1,44,8,18 %,100 %,16 %,"1621,9 %",Extremo
473,1,36,4,11 %,100 %,9 %,"1609,4 %",Extremo
478,1,44,9,20 %,100 %,19 %,"1530,6 %",Extremo
472,1,36,5,14 %,100 %,11 %,"1506,5 %",Extremo
501,1,27,1,4 %,100 %,0 %,"1487,7 %",Extremo
476,1,44,10,23 %,100 %,21 %,"1442,2 %",Extremo
517,1,27,2,7 %,100 %,4 %,"1369,0 %",Extremo
489,1,36,8,22 %,100 %,20 %,"1220,3 %",Extremo
708,1,21,1,5 %,100 %,0 %,"1184,1 %",Extremo
518,1,27,4,15 %,100 %,12 %,"1148,3 %",Extremo
475,1,44,14,32 %,100 %,30 %,"1116,3 %",Extremo
458,1,21,2,10 %,100 %,5 %,"1060,6 %",Extremo
487,1,36,10,28 %,100 %,26 %,"1047,6 %",Extremo
480,1,27,5,19 %,100 %,15 %,"1046,2 %",Extremo
481,1,44,16,36 %,100 %,35 %,"969,9 %",Extremo
507,1,21,3,14 %,100 %,10 %,"945,1 %",Extremo
40,1,16,1,6 %,100 %,0 %,"929,2 %",Extremo
41,1,16,1,6 %,100 %,0 %,"929,2 %",Extremo
241,1,14,1,7 %,100 %,0 %,"826,2 %",Extremo
462,1,16,2,13 %,100 %,7 %,"799,4 %",Extremo
477,1,27,8,30 %,100 %,27 %,"771,2 %",Extremo
665,1,25,17,68 %,100 %,268 %,"767,3 %",Extremo
474,1,21,5,24 %,100 %,20 %,"736,7 %",Extremo
66,1,19,4,21 %,100 %,17 %,"732,4 %",Extremo
511,1,44,20,45 %,100 %,44 %,"709,3 %",Extremo
557,1,27,9,33 %,100 %,31 %,"689,7 %",Extremo
465,1,16,3,19 %,100 %,13 %,"681,2 %",Extremo
663,1,16,3,19 %,100 %,13 %,"681,2 %",Extremo
469,1,21,6,29 %,100 %,25 %,"643,5 %",Extremo
500,1,21,6,29 %,100 %,25 %,"643,5 %",Extremo
461,1,21,7,33 %,100 %,30 %,"557,3 %",Extremo
467,1,36,17,47 %,100 %,46 %,"552,3 %",Extremo
468,1,36,17,47 %,100 %,46 %,"552,3 %",Extremo
513,1,36,18,50 %,100 %,49 %,"494,9 %",Extremo
470,1,16,5,31 %,100 %,27 %,"477,5 %",Extremo
