Folio,Cierre Esperado,Pagos Esperados,Pagos Realizados,Pagos Cubiertos,Avance Esperado,Avance Cumplido,Diferencia,Riesgo
503,1,44,1,2 %,100 %,0 %,"98,9 %",Extremo
515,1,44,1,2 %,100 %,0 %,"98,9 %",Extremo
501,1,27,1,4 %,100 %,0 %,"98,1 %",Extremo
708,1,21,1,5 %,100 %,0 %,"97,6 %",Extremo
40,1,16,1,6 %,100 %,0 %,"96,9 %",Extremo
41,1,16,1,6 %,100 %,0 %,"96,9 %",Extremo
505,1,44,2,5 %,100 %,2 %,"96,6 %",Extremo
241,1,14,1,7 %,100 %,0 %,"96,4 %",Extremo
460,1,36,2,6 %,100 %,3 %,"95,8 %",Extremo
517,1,27,2,7 %,100 %,4 %,"94,4 %",Extremo
497,1,36,3,8 %,100 %,6 %,"93,0 %",Extremo
499,1,36,3,8 %,100 %,6 %,"93,0 %",Extremo
458,1,21,2,10 %,100 %,5 %,"92,7 %",Extremo
491,1,44,4,9 %,100 %,7 %,"92,0 %",Extremo
492,1,44,4,9 %,100 %,7 %,"92,0 %",Extremo
504,1,44,4,9 %,100 %,7 %,"92,0 %",Extremo
462,1,16,2,13 %,100 %,7 %,"90,4 %",Extremo
473,1,36,4,11 %,100 %,9 %,"90,2 %",Extremo
507,1,21,3,14 %,100 %,10 %,"87,9 %",Extremo
509,1,44,6,14 %,100 %,12 %,"87,4 %",Extremo
472,1,36,5,14 %,100 %,11 %,"87,3 %",Extremo
518,1,27,4,15 %,100 %,12 %,"86,8 %",Extremo
465,1,16,3,19 %,100 %,13 %,"84,0 %",Extremo
663,1,16,3,19 %,100 %,13 %,"84,0 %",Extremo
480,1,27,5,19 %,100 %,15 %,"83,0 %",Extremo
464,1,44,8,18 %,100 %,16 %,"82,8 %",Extremo
66,1,19,4,21 %,100 %,17 %,"81,1 %",Extremo
478,1,44,9,20 %,100 %,19 %,"80,5 %",Extremo
489,1,36,8,22 %,100 %,20 %,"78,9 %",Peligro Muy Alto
476,1,44,10,23 %,100 %,21 %,"78,2 %",Peligro Muy Alto
474,1,21,5,24 %,100 %,20 %,"78,1 %",Peligro Muy Alto
547,0,14,2,14 %,87 %,8 %,"75,7 %",Peligro Muy Alto
487,1,36,10,28 %,100 %,26 %,"73,3 %",Peligro Muy Alto
469,1,21,6,29 %,100 %,25 %,"73,2 %",Peligro Muy Alto
500,1,21,6,29 %,100 %,25 %,"73,2 %",Peligro Muy Alto
477,1,27,8,30 %,100 %,27 %,"71,7 %",Peligro Muy Alto
470,1,16,5,31 %,100 %,27 %,"71,0 %",Peligro Muy Alto
695,1,16,5,31 %,100 %,27 %,"71,0 %",Peligro Muy Alto
475,1,44,14,32 %,100 %,30 %,"69,0 %",Peligro Muy Alto
461,1,21,7,33 %,100 %,30 %,"68,3 %",Peligro Muy Alto
557,1,27,9,33 %,100 %,31 %,"67,9 %",Peligro Muy Alto
466,1,16,6,38 %,100 %,33 %,"64,6 %",Peligro Muy Alto
496,1,16,6,38 %,100 %,33 %,"64,6 %",Peligro Muy Alto
481,1,44,16,36 %,100 %,35 %,"64,4 %",Peligro Muy Alto
81,0,26,9,35 %,96 %,31 %,"63,5 %",Peligro Muy Alto
74,0,24,7,29 %,88 %,23 %,"62,3 %",Peligro Muy Alto
77,0,24,7,29 %,88 %,23 %,"62,3 %",Peligro Muy Alto
672,0,12,2,17 %,73 %,6 %,"62,1 %",Peligro Muy Alto
80,0,26,10,38 %,96 %,35 %,"59,6 %",Peligro Muy Alto
240,0,17,1,6 %,62 %,0 %,"58,6 %",Peligro Muy Alto
427,0,17,1,6 %,62 %,0 %,"58,6 %",Peligro Muy Alto
96,1,27,12,44 %,100 %,42 %,"56,6 %",Peligro Muy Alto
543,0,28,7,25 %,77 %,17 %,"56,1 %",Peligro Muy Alto
511,1,44,20,45 %,100 %,44 %,"55,2 %",Peligro Muy Alto
694,0,10,1,10 %,60 %,0 %,"55,0 %",Peligro Muy Alto
537,1,16,7,44 %,100 %,48 %,"54,3 %",Peligro Muy Alto
490,1,21,10,48 %,100 %,45 %,"53,7 %",Peligro Muy Alto
467,1,36,17,47 %,100 %,46 %,"53,5 %",Peligro Muy Alto
468,1,36,17,47 %,100 %,46 %,"53,5 %",Peligro Muy Alto
71,0,22,7,32 %,81 %,23 %,"53,3 %",Peligro Muy Alto
290,1,27,13,48 %,100 %,46 %,"52,8 %",Peligro Muy Alto
484,1,27,13,48 %,100 %,46 %,"52,8 %",Peligro Muy Alto
242,1,16,8,50 %,100 %,47 %,"51,7 %",Peligro Muy Alto
255,1,16,8,50 %,100 %,47 %,"51,7 %",Peligro Muy Alto
513,1,36,18,50 %,100 %,49 %,"50,7 %",Peligro Muy Alto
100,1,27,14,52 %,100 %,50 %,"49,1 %",Peligro Alto
131,1,36,19,53 %,100 %,51 %,"47,9 %",Peligro Alto
76,1,11,6,55 %,100 %,50 %,"47,7 %",Peligro Alto
529,0,24,7,29 %,88 %,53 %,"47,5 %",Peligro Alto
17,0,19,2,11 %,51 %,0 %,"46,2 %",Peligro Alto
124,0,33,16,48 %,91 %,43 %,"45,8 %",Peligro Alto
126,0,33,16,48 %,91 %,43 %,"45,8 %",Peligro Alto
548,0,15,10,67 %,93 %,29 %,"45,7 %",Peligro Alto
479,1,16,9,56 %,100 %,53 %,"45,2 %",Peligro Alto
493,1,16,9,56 %,100 %,53 %,"45,2 %",Peligro Alto
495,1,21,12,57 %,100 %,55 %,"43,9 %",Peligro Alto
482,1,44,25,57 %,100 %,56 %,"43,7 %",Peligro Alto
299,0,33,17,52 %,91 %,46 %,"42,8 %",Peligro Alto
109,0,32,16,50 %,89 %,43 %,"42,1 %",Peligro Alto
296,0,32,16,50 %,89 %,43 %,"42,1 %",Peligro Alto
575,1,27,9,33 %,100 %,82 %,"42,1 %",Peligro Alto
91,0,31,15,48 %,86 %,40 %,"41,5 %",Peligro Alto
562,0,26,6,23 %,58 %,12 %,"40,8 %",Peligro Alto
23,1,16,5,31 %,100 %,88 %,"40,6 %",Peligro Alto
291,0,29,13,45 %,80 %,34 %,"40,4 %",Peligro Alto
614,0,21,3,14 %,57 %,20 %,"39,8 %",Muy Alto
533,0,26,3,12 %,58 %,26 %,"39,6 %",Muy Alto
155,1,36,22,61 %,100 %,60 %,"39,4 %",Muy Alto
156,1,36,22,61 %,100 %,60 %,"39,4 %",Muy Alto
265,0,26,10,38 %,71 %,26 %,"39,3 %",Muy Alto
270,0,26,10,38 %,71 %,26 %,"39,3 %",Muy Alto
172,1,44,27,61 %,100 %,60 %,"39,1 %",Muy Alto
244,0,23,7,30 %,63 %,17 %,"39,1 %",Muy Alto
246,0,23,7,30 %,63 %,17 %,"39,1 %",Muy Alto
72,0,24,8,33 %,66 %,20 %,"39,0 %",Muy Alto
274,1,16,10,63 %,100 %,60 %,"38,8 %",Muy Alto
279,1,16,10,63 %,100 %,60 %,"38,8 %",Muy Alto
463,1,16,10,63 %,100 %,60 %,"38,8 %",Muy Alto
113,1,27,17,63 %,100 %,62 %,"37,7 %",Muy Alto
163,0,42,25,60 %,95 %,56 %,"37,7 %",Muy Alto
164,0,42,25,60 %,95 %,56 %,"37,7 %",Muy Alto
142,0,41,24,59 %,93 %,53 %,"37,0 %",Muy Alto
180,1,44,28,64 %,100 %,63 %,"36,8 %",Muy Alto
181,1,44,28,64 %,100 %,63 %,"36,8 %",Muy Alto
154,0,40,23,58 %,91 %,51 %,"36,4 %",Muy Alto
254,0,25,10,40 %,69 %,26 %,"35,7 %",Muy Alto
258,0,21,6,29 %,57 %,14 %,"35,7 %",Muy Alto
147,0,41,25,61 %,93 %,56 %,"34,6 %",Muy Alto
143,1,36,24,67 %,100 %,66 %,"33,8 %",Muy Alto
132,0,35,18,51 %,79 %,40 %,"33,6 %",Muy Alto
123,0,33,16,48 %,74 %,35 %,"32,7 %",Muy Alto
652,0,32,18,56 %,89 %,56 %,"32,5 %",Muy Alto
554,0,33,10,30 %,74 %,54 %,"32,2 %",Muy Alto
64,0,20,4,20 %,44 %,7 %,"30,7 %",Muy Alto
444,0,16,3,19 %,43 %,6 %,"30,6 %",Muy Alto
105,0,32,16,50 %,72 %,35 %,"29,7 %",Alto
243,0,22,6,27 %,49 %,12 %,"29,4 %",Alto
247,0,22,6,27 %,49 %,12 %,"29,4 %",Alto
89,0,31,15,48 %,70 %,33 %,"29,3 %",Alto
93,0,30,14,47 %,67 %,30 %,"29,0 %",Alto
522,0,15,5,33 %,54 %,16 %,"28,9 %",Alto
69,0,24,8,33 %,53 %,16 %,"28,7 %",Alto
262,0,26,10,38 %,58 %,21 %,"28,4 %",Alto
273,0,26,10,38 %,58 %,21 %,"28,4 %",Alto
283,0,26,10,38 %,58 %,21 %,"28,4 %",Alto
286,0,26,10,38 %,58 %,21 %,"28,4 %",Alto
659,0,31,12,39 %,86 %,76 %,"28,4 %",Alto
