folio,amortizacionId,numero,concepto,plan,plazos,precio,interes,anticipo,subtotal,semanal,total,saldoTotal,saldoActual,totalPagado,liquidacion,pagado,pagoNumero,pagoPlazo,pagoFechaEsperada,pagoFechaRecibido,pagoMontoEsperado,pagoMontoRecibidoEfectivo,pagoMontoRecibidoTarjeta,pagoMontoRecibidoTransferencia,pagoMontoRecibidoAjustado,pagoMontoRecibido,pagoMontoAportado,pagoMontoExcedente,pagoMontoFaltante,pagoAnteriorId,pagoSiguienteId,vendedorRecibeFolio,sucursalRecibeFolio,vendedorOrigenFolio,sucursalOrigenFolio,liquidado,amortizacionAnteriorId,amortizacionSiguienteId
791,anticipo,0,Anticipo,nuevo,26,3999,190,799,6080,233.85,6879,6879,6080,799,3200,1,1,26,2026-05-25,2026-05-25,799,0,0,0,799,799,799,0,0,,pago-1,10001,3,10001,3,0,,pago-1
791,pago-1,1,Pago 1 de 26,nuevo,26,3999,190,799,6080,233.85,6879,6879,6080,799,3200,0,,0,2026-06-01,,233.85,0,0,0,0,0,0,0,233.85,anticipo,pago-2,,,,,0,anticipo,pago-2
791,pago-2,2,Pago 2 de 26,nuevo,26,3999,190,799,6080,233.85,6879,6879,6080,799,3200,0,,0,2026-06-08,,233.85,0,0,0,0,0,0,0,233.85,pago-1,pago-3,,,,,0,pago-1,pago-3
791,pago-3,3,Pago 3 de 26,nuevo,26,3999,190,799,6080,233.85,6879,6879,6080,799,3200,0,,0,2026-06-15,,233.85,0,0,0,0,0,0,0,233.85,pago-2,pago-4,,,,,0,pago-2,pago-4
791,pago-4,4,Pago 4 de 26,nuevo,26,3999,190,799,6080,233.85,6879,6879,6080,799,3200,0,,0,2026-06-22,,233.85,0,0,0,0,0,0,0,233.85,pago-3,pago-5,,,,,0,pago-3,pago-5
791,pago-5,5,Pago 5 de 26,nuevo,26,3999,190,799,6080,233.85,6879,6879,6080,799,3200,0,,0,2026-06-29,,233.85,0,0,0,0,0,0,0,233.85,pago-4,pago-6,,,,,0,pago-4,pago-6
791,pago-6,6,Pago 6 de 26,nuevo,26,3999,190,799,6080,233.85,6879,6879,6080,799,3200,0,,0,2026-07-06,,233.85,0,0,0,0,0,0,0,233.85,pago-5,pago-7,,,,,0,pago-5,pago-7
791,pago-7,7,Pago 7 de 26,nuevo,26,3999,190,799,6080,233.85,6879,6879,6080,799,3200,0,,0,2026-07-13,,233.85,0,0,0,0,0,0,0,233.85,pago-6,pago-8,,,,,0,pago-6,pago-8
791,pago-8,8,Pago 8 de 26,nuevo,26,3999,190,799,6080,233.85,6879,6879,6080,799,3200,0,,0,2026-07-20,,233.85,0,0,0,0,0,0,0,233.85,pago-7,pago-9,,,,,0,pago-7,pago-9
791,pago-9,9,Pago 9 de 26,nuevo,26,3999,190,799,6080,233.85,6879,6879,6080,799,3200,0,,0,2026-07-27,,233.85,0,0,0,0,0,0,0,233.85,pago-8,pago-10,,,,,0,pago-8,pago-10
