folio,Suma de numeroPago,Year,Quarter,Month,Day,Suma de montoEsperado,Suma de montoRecibido
9,0,2026,Qtr 1,January,5,"$799,00","$799,00"
9,1,2026,Qtr 1,January,12,"$302,22","$305,00"
9,2,2026,Qtr 1,January,19,"$302,22","$305,00"
9,3,2026,Qtr 1,January,26,"$302,22","$303,00"
9,4,2026,Qtr 1,February,2,"$302,22","$302,22"
9,5,2026,Qtr 1,February,9,"$302,22","$302,22"
9,6,2026,Qtr 1,February,16,"$302,22","$302,22"
9,7,2026,Qtr 1,February,23,"$302,22","$302,22"
9,8,2026,Qtr 1,March,2,"$302,22","$302,22"
9,9,2026,Qtr 1,March,9,"$302,22","$302,22"
9,10,2026,Qtr 1,March,16,"$302,22","$302,22"
9,11,2026,Qtr 1,March,23,"$302,22","$302,22"
9,12,2026,Qtr 1,March,30,"$302,22","$302,22"
9,13,2026,Qtr 2,April,6,"$302,22","$302,22"
9,14,2026,Qtr 2,April,13,"$302,22","$302,22"
9,15,2026,Qtr 2,April,20,"$302,22","$302,22"
9,16,2026,Qtr 2,April,27,"$302,22","$302,22"
9,17,2026,Qtr 2,May,4,"$302,22","$302,22"
9,18,2026,Qtr 2,May,11,"$302,22","$302,26"
14,0,2026,Qtr 1,January,5,"$0,00","$0,00"
14,1,2026,Qtr 1,January,12,"$518,52","$518,52"
14,2,2026,Qtr 1,January,19,"$518,52","$518,52"
14,3,2026,Qtr 1,January,26,"$518,52","$518,52"
14,4,2026,Qtr 1,February,2,"$518,52","$519,00"
14,5,2026,Qtr 1,February,9,"$518,52","$520,00"
14,6,2026,Qtr 1,February,16,"$518,52","$518,52"
14,7,2026,Qtr 1,February,23,"$518,52","$518,52"
14,8,2026,Qtr 1,March,2,"$518,52","$518,52"
14,9,2026,Qtr 1,March,9,"$518,52","$518,52"
14,10,2026,Qtr 1,March,16,"$518,52","$518,52"
14,11,2026,Qtr 1,March,23,"$518,52","$0,00"
14,12,2026,Qtr 1,March,30,"$518,52","$0,00"
14,13,2026,Qtr 2,April,6,"$518,52","$0,00"
14,14,2026,Qtr 2,April,13,"$518,52","$0,00"
14,15,2026,Qtr 2,April,20,"$518,52","$0,00"
14,16,2026,Qtr 2,April,27,"$518,52","$0,00"
14,17,2026,Qtr 2,May,4,"$518,52","$0,00"
14,18,2026,Qtr 2,May,11,"$518,52","$0,00"
14,19,2026,Qtr 2,May,18,"$518,52","$0,00"
14,20,2026,Qtr 2,May,25,"$518,52","$0,00"
14,21,2026,Qtr 2,June,1,"$518,52","$0,00"
17,0,2026,Qtr 1,January,5,"$2499,00","$2499,00"
17,1,2026,Qtr 1,January,12,"$510,00","$510,00"
17,2,2026,Qtr 1,January,19,"$510,00","$0,00"
17,3,2026,Qtr 1,January,26,"$510,00","$0,00"
17,4,2026,Qtr 1,February,2,"$510,00","$0,00"
17,5,2026,Qtr 1,February,9,"$510,00","$0,00"
17,6,2026,Qtr 1,February,16,"$510,00","$0,00"
17,7,2026,Qtr 1,February,23,"$510,00","$0,00"
17,8,2026,Qtr 1,March,2,"$510,00","$0,00"
17,9,2026,Qtr 1,March,9,"$510,00","$0,00"
17,10,2026,Qtr 1,March,16,"$510,00","$0,00"
17,11,2026,Qtr 1,March,23,"$510,00","$0,00"
17,12,2026,Qtr 1,March,30,"$510,00","$0,00"
17,13,2026,Qtr 2,April,6,"$510,00","$0,00"
17,14,2026,Qtr 2,April,13,"$510,00","$0,00"
17,15,2026,Qtr 2,April,20,"$510,00","$0,00"
17,16,2026,Qtr 2,April,27,"$510,00","$0,00"
17,17,2026,Qtr 2,May,4,"$510,00","$0,00"
17,18,2026,Qtr 2,May,11,"$510,00","$0,00"
17,19,2026,Qtr 2,May,18,"$510,00","$0,00"
17,20,2026,Qtr 2,May,25,"$510,00","$0,00"
17,21,2026,Qtr 2,June,1,"$510,00","$0,00"
18,0,2026,Qtr 1,January,5,"$0,00","$0,00"
18,1,2026,Qtr 1,January,12,"$347,87","$347,87"
18,2,2026,Qtr 1,January,19,"$347,87","$347,87"
18,3,2026,Qtr 1,January,26,"$347,87","$347,87"
18,4,2026,Qtr 1,February,2,"$347,87","$347,87"
18,5,2026,Qtr 1,February,9,"$347,87","$347,87"
18,6,2026,Qtr 1,February,16,"$347,87","$347,87"
18,7,2026,Qtr 1,February,23,"$347,87","$347,87"
18,8,2026,Qtr 1,March,2,"$347,87","$347,87"
18,9,2026,Qtr 1,March,9,"$347,87","$347,87"
18,10,2026,Qtr 1,March,16,"$347,87","$347,87"
18,11,2026,Qtr 1,March,23,"$347,87","$347,87"
18,12,2026,Qtr 1,March,30,"$347,87","$347,87"
18,13,2026,Qtr 2,April,6,"$347,87","$347,87"
18,14,2026,Qtr 2,April,13,"$347,87","$347,87"
18,15,2026,Qtr 2,April,20,"$347,87","$0,00"
18,16,2026,Qtr 2,April,27,"$347,87","$0,00"
18,17,2026,Qtr 2,May,4,"$347,87","$0,00"
18,18,2026,Qtr 2,May,11,"$347,87","$0,00"
18,19,2026,Qtr 2,May,18,"$347,87","$0,00"
18,20,2026,Qtr 2,May,25,"$347,87","$0,00"
18,21,2026,Qtr 2,June,1,"$347,87","$0,00"
23,0,2026,Qtr 1,January,6,"$799,00","$799,00"
23,1,2026,Qtr 1,January,13,"$320,00","$321,00"
23,2,2026,Qtr 1,January,20,"$320,00","$320,00"
23,3,2026,Qtr 1,January,27,"$320,00","$320,00"
23,4,2026,Qtr 1,February,3,"$320,00","$320,00"
23,5,2026,Qtr 1,February,10,"$320,00","$0,00"
23,6,2026,Qtr 1,February,17,"$320,00","$0,00"
23,7,2026,Qtr 1,February,24,"$320,00","$0,00"
23,8,2026,Qtr 1,March,3,"$320,00","$0,00"
23,9,2026,Qtr 1,March,10,"$320,00","$0,00"
23,10,2026,Qtr 1,March,17,"$320,00","$0,00"
23,11,2026,Qtr 1,March,24,"$320,00","$0,00"
23,12,2026,Qtr 1,March,31,"$320,00","$0,00"
23,13,2026,Qtr 2,April,7,"$320,00","$0,00"
23,14,2026,Qtr 2,April,14,"$320,00","$0,00"
23,15,2026,Qtr 2,April,21,"$320,00","$0,00"
26,0,2026,Qtr 1,January,5,"$1249,00","$1249,00"
26,1,2026,Qtr 1,January,12,"$275,47","$275,47"
26,2,2026,Qtr 1,January,19,"$275,47","$275,47"
26,3,2026,Qtr 1,January,26,"$275,47","$275,47"
26,4,2026,Qtr 1,February,2,"$275,47","$275,47"
26,5,2026,Qtr 1,February,9,"$275,47","$275,47"
26,6,2026,Qtr 1,February,16,"$275,47","$275,47"
26,7,2026,Qtr 1,February,23,"$275,47","$275,47"
26,8,2026,Qtr 1,March,2,"$275,47","$275,47"
26,9,2026,Qtr 1,March,9,"$275,47","$0,00"
26,10,2026,Qtr 1,March,16,"$275,47","$0,00"
26,11,2026,Qtr 1,March,23,"$275,47","$0,00"
26,12,2026,Qtr 1,March,30,"$275,47","$0,00"
26,13,2026,Qtr 2,April,6,"$275,47","$0,00"
26,14,2026,Qtr 2,April,13,"$275,47","$0,00"
