folio,pagos,plazos,precio,anticipo
9,19,18.0,3999.0,799.0
14,36,35.0,10999.0,0.0
17,36,35.0,10999.0,2499.0
18,44,43.0,8799.0,0.0
23,16,15.0,3999.0,799.0
26,44,43.0,6399.0,1249.0
32,44,43.0,5499.0,0.0
39,36,35.0,9099.0,0.0
40,16,15.0,5799.0,1249.0
41,16,15.0,9899.0,0.0
42,44,43.0,3799.0,799.0
43,44,43.0,3999.0,799.0
46,36,35.0,3999.0,799.0
48,27,26.0,3799.0,799.0
59,44,43.0,5299.0,999.0
61,16,15.0,5799.0,1249.0
64,44,43.0,8799.0,0.0
66,19,18.0,3999.0,799.0
69,44,43.0,5799.0,624.0
71,27,26.0,10999.0,0.0
72,36,35.0,5499.0,1249.0
74,27,26.0,3999.0,799.0
76,11,10.0,4400.0,600.0
77,27,26.0,3999.0,799.0
80,27,26.0,5499.0,549.9
81,27,26.0,9099.0,0.0
89,44,43.0,3799.0,799.0
90,16,15.0,3999.0,799.0
91,36,35.0,5299.0,999.0
93,44,43.0,5399.0,1249.0
96,27,26.0,3799.0,799.0
97,13,12.0,2200.0,200.0
100,27,26.0,3799.0,799.0
103,16,15.0,5999.0,1250.0
104,16,15.0,3999.0,799.0
105,44,43.0,3799.0,799.0
109,36,35.0,3999.0,799.0
111,19,18.0,3799.0,799.0
113,27,26.0,5799.0,999.0
115,16,15.0,3799.0,799.0
116,19,18.0,3999.0,799.0
123,44,43.0,3799.0,799.0
124,36,35.0,5999.0,999.0
125,21,20.0,5899.0,624.5
126,36,35.0,8799.0,1999.0
128,16,15.0,6499.0,1249.5
130,19,18.0,3799.0,799.0
131,36,35.0,3999.0,799.0
132,44,43.0,3799.0,799.0
133,16,15.0,3799.0,799.0
140,16,15.0,3799.0,799.0
141,19,18.0,3799.0,399.5
142,44,43.0,5299.0,999.0
143,36,35.0,5299.0,999.0
145,16,15.0,3799.0,799.0
147,44,43.0,5299.0,999.0
148,16,15.0,3799.0,799.0
149,16,15.0,3799.0,799.0
150,27,26.0,4099.0,999.0
151,21,20.0,9099.0,1249.5
154,44,43.0,3799.0,799.0
155,36,35.0,5899.0,1249.0
156,36,35.0,5799.0,1249.0
159,16,15.0,4099.0,999.0
162,16,15.0,3799.0,799.0
163,44,43.0,3799.0,799.0
164,44,43.0,3799.0,799.0
167,36,35.0,5499.0,1249.0
168,36,35.0,6099.0,1249.0
169,16,15.0,5299.0,999.0
170,51,50.0,8133.0,0.0
171,21,20.0,6099.0,624.5
172,44,43.0,5299.0,999.0
173,16,15.0,5299.0,999.0
174,27,26.0,3799.0,399.5
175,27,26.0,5299.0,999.0
176,16,15.0,5299.0,999.0
179,16,15.0,5299.0,999.0
180,44,43.0,3799.0,799.0
181,44,43.0,5299.0,999.0
182,16,15.0,6299.0,1249.0
183,16,15.0,3799.0,799.0
184,27,26.0,3699.0,799.0
185,36,35.0,3799.0,799.0
186,36,35.0,5799.0,1249.0
187,27,26.0,3799.0,799.0
188,16,15.0,5299.0,999.0
189,27,26.0,3799.0,799.0
191,21,20.0,6499.0,0.0
192,21,20.0,3700.0,400.0
193,16,15.0,3799.0,799.0
194,21,20.0,3799.0,399.5
195,16,15.0,3799.0,399.5
197,44,43.0,3799.0,799.0
198,16,15.0,3799.0,799.0
199,44,43.0,3799.0,399.5
205,36,35.0,3799.0,799.0
207,21,20.0,8299.0,999.5
209,16,15.0,3799.0,399.5
212,36,35.0,6499.0,1249.0
213,44,43.0,5299.0,999.0
214,44,43.0,5299.0,999.0
215,21,20.0,6599.0,624.5
216,16,15.0,5299.0,999.0
217,36,35.0,3799.0,799.0
219,44,43.0,7599.0,1000.0
220,44,43.0,5299.0,999.0
221,44,43.0,8299.0,999.0
222,36,35.0,3799.0,799.0
223,27,26.0,5299.0,999.0
224,21,20.0,5299.0,999.0
228,21,20.0,6499.0,750.0
231,27,26.0,9199.0,2499.0
233,21,20.0,9199.0,1249.0
235,27,26.0,5299.0,999.0
238,36,35.0,5299.0,999.0
240,27,26.0,6499.0,0.0
241,14,13.0,7699.0,1720.0
242,16,15.0,3999.0,799.0
243,44,43.0,3999.0,799.0
244,36,35.0,3999.0,799.0
246,36,35.0,3999.0,799.0
247,44,43.0,6399.0,624.5
254,36,35.0,3799.0,799.0
255,16,15.0,3999.0,799.0
258,36,35.0,3999.0,799.0
261,44,43.0,3799.0,379.9
262,44,43.0,3999.0,399.9
265,36,35.0,5999.0,599.9
270,36,35.0,3799.0,379.9
273,44,43.0,5999.0,599.9
274,16,15.0,5399.0,539.9
279,16,15.0,5399.0,550.0
280,44,43.0,9999.0,0.0
283,44,43.0,3999.0,360.0
286,44,43.0,9099.0,909.9
289,16,15.0,3799.0,799.0
290,27,26.0,5399.0,1249.0
291,36,35.0,3799.0,799.0
293,44,43.0,3799.0,799.0
295,16,15.0,3799.0,799.0
296,36,35.0,3999.0,799.0
299,36,35.0,3799.0,399.5
300,16,15.0,4099.0,999.0
302,16,15.0,3799.0,799.0
303,27,26.0,6099.0,1249.0
304,16,15.0,5299.0,999.0
305,44,43.0,6499.0,624.5
306,44,43.0,8499.0,500.0
307,19,18.0,5299.0,999.0
309,36,35.0,5299.0,999.0
311,16,15.0,5299.0,999.0
312,16,15.0,3799.0,799.0
313,36,35.0,8299.0,999.0
314,27,26.0,3799.0,799.0
315,21,20.0,10099.0,1249.0
319,44,43.0,5299.0,999.0
320,27,26.0,3799.0,799.0
321,36,35.0,10099.0,2600.0
324,44,43.0,8299.0,999.0
325,16,15.0,3799.0,799.0
333,27,26.0,3799.0,799.0
334,16,15.0,3799.0,799.0
343,27,26.0,6599.0,499.0
348,44,43.0,8599.0,1250.0
349,16,15.0,6399.0,500.0
353,27,26.0,5599.0,1000.0
354,21,20.0,6999.0,1000.0
355,21,20.0,7699.0,1000.0
356,27,26.0,6399.0,1500.0
361,16,15.0,24000.0,4800.0
362,21,20.0,7199.0,500.0
364,44,43.0,6500.0,0.0
365,16,15.0,7199.0,2499.0
368,27,26.0,5799.0,999.0
369,36,35.0,5799.0,1350.0
372,36,35.0,3999.0,499.0
375,44,43.0,7199.0,499.0
378,16,15.0,3999.0,799.0
379,27,26.0,6399.0,1499.0
380,36,35.0,6699.0,999.0
382,44,43.0,5799.0,300.0
383,21,20.0,6599.0,0.0
384,36,35.0,3999.0,499.0
385,36,35.0,7199.0,1499.0
386,36,35.0,24500.0,6000.0
389,16,15.0,5799.0,1499.0
390,16,15.0,7199.0,1999.0
392,16,15.0,3999.0,799.0
394,44,43.0,3999.0,499.0
395,27,26.0,3999.0,799.0
396,36,35.0,7199.0,1499.0
397,21,20.0,6700.0,810.0
