folio,plan,plazos,precio,anticipo,semanal,total,pagado,pagoMontoFijado,pagoMontoCorriente,pagoMontoRecibido
9,nuevo,18,3999.0,799.0,302.22,6239.0,19,6239.0,6239.0,5030.120000000001
14,renovacion,35,10999.0,0.0,518.52,18148.35,11,18146.39,5185.2,3631.6
17,nuevo,35,10999.0,2499.0,510.0,20349.08,2,20349.08,3009.0,2499.0
18,renovacion,43,8799.0,0.0,347.87,14958.3,14,14958.3,4522.31,3130.83
23,nuevo,15,3999.0,799.0,320.0,5599.0,5,5599.0,2079.0,1759.0
26,nuevo,43,6399.0,1249.0,275.47,13094.03,9,13094.03,3452.76,2626.3500000000004
32,renovacion,43,5499.0,0.0,217.4,9348.3,19,9348.300000000001,3913.2000000000003,3261.0
39,renovacion,35,9099.0,0.0,428.95,15013.35,12,15013.35,4718.45,3860.5499999999997
40,nuevo,15,5799.0,1249.0,455.0,8073.96,1,8073.96,1249.0,1249.0
41,renovacion,15,9899.0,0.0,989.9,14848.5,1,14848.5,0.0,0.0
42,nuevo,43,3799.0,799.0,160.47,7699.02,19,7538.74,3526.99,3366.71
43,nuevo,43,3999.0,799.0,171.16,8159.02,10,8159.0199999999995,2339.44,2339.44
46,nuevo,35,3999.0,799.0,192.0,7519.0,14,7519.0,3295.0,2911.0
48,nuevo,26,3799.0,799.0,219.0,6499.0,25,6499.0,6055.0,799.0
59,nuevo,43,5299.0,999.0,230.0,10889.02,7,10659.02,2379.0,2609.0
61,nuevo,15,5799.0,1249.0,455.0,8073.96,16,8028.92,8028.92,7664.0
64,nuevo,43,8799.0,0.0,347.87,14958.3,4,14958.3,1043.6100000000001,0.0
66,nuevo,18,3999.0,799.0,302.22,6239.0,4,6239.0,1705.66,799.0
69,nuevo,43,5799.0,624.0,204.59,9421.5,8,9421.5,2056.13,624.0
71,nuevo,26,10999.0,0.0,676.86,17598.4,7,17598.4,4061.16,0.0
72,nuevo,35,5499.0,1249.0,255.0,10174.0,8,10174.0,3034.0,1249.0
74,nuevo,26,3999.0,799.0,233.85,6879.0,7,6879.0,2202.1,799.0
76,nuevo,10,4400.0,600.0,380.0,4400.0,6,4400.0,2500.0,600.0
77,nuevo,26,3999.0,799.0,233.85,6879.0,7,6879.0,2202.1,799.0
80,nuevo,26,5499.0,549.9,361.67,9953.19,10,9953.19,3804.9300000000003,549.9
81,nuevo,26,9099.0,0.0,559.94,14558.4,9,14558.400000000001,4479.52,0.0
89,nuevo,43,3799.0,799.0,160.47,7699.0,15,7699.0,3045.58,799.0
90,nuevo,15,3999.0,799.0,320.0,5599.0,16,5599.0,5599.0,799.0
91,nuevo,35,5299.0,999.0,258.0,10029.0,15,10029.0,4611.0,999.0
93,nuevo,43,5399.0,1249.0,221.98,10794.0,14,10794.0,4134.74,1249.0
96,nuevo,26,3799.0,799.0,219.23,6499.0,12,6499.0,3210.5299999999997,799.0
97,nuevo,12,2200.0,200.0,168.33,2220.0,13,2220.0,2220.0,200.0
100,nuevo,26,3799.0,799.0,219.23,6499.0,14,6499.0,3648.99,799.0
103,nuevo,15,5999.0,1250.0,474.9,8373.5,16,8373.5,8373.5,1250.0
104,nuevo,15,3999.0,799.0,320.0,5599.0,16,5599.0,5599.0,799.0
105,nuevo,43,3799.0,799.0,160.47,7699.0,16,7699.0,3206.05,799.0
109,nuevo,35,3999.0,799.0,192.0,7519.0,16,7519.0,3679.0,799.0
111,nuevo,18,3799.0,799.0,283.33,5899.0,18,5899.0,5615.61,799.0
113,nuevo,26,5799.0,999.0,350.77,10119.0,17,10119.0,6611.32,999.0
115,nuevo,15,3799.0,799.0,300.0,5299.0,16,5299.0,5299.0,799.0
116,nuevo,18,3999.0,799.0,302.22,6239.0,18,6239.0,5936.740000000001,799.0
123,nuevo,43,3799.0,799.0,160.47,7699.0,16,7699.0,3206.05,799.0
124,nuevo,35,5999.0,999.0,300.0,11499.0,16,11499.0,5499.0,999.0
125,nuevo,20,5899.0,624.5,263.73,5899.0,16,5899.0,4580.450000000001,624.5
126,nuevo,35,8799.0,1999.0,408.0,16279.0,16,16279.0,8119.0,1999.0
128,nuevo,15,6499.0,1249.5,524.95,9123.75,16,9123.75,9123.75,1249.5
130,nuevo,18,3799.0,799.0,283.33,5899.0,19,5899.0,5899.0,799.0
131,nuevo,35,3999.0,799.0,192.0,7519.0,19,7519.0,4255.0,799.0
132,nuevo,43,3799.0,799.0,160.47,7699.0,18,7699.0,3526.99,799.0
133,nuevo,15,3799.0,799.0,300.0,5299.0,16,5299.0,5299.0,799.0
140,nuevo,15,3799.0,799.0,300.0,5299.0,16,5299.0,5299.0,799.0
141,nuevo,18,3799.0,399.5,292.73,5668.73,19,5668.7300000000005,5668.7300000000005,399.5
142,nuevo,43,5299.0,999.0,230.0,10889.0,24,10889.0,6289.0,999.0
143,nuevo,35,5299.0,999.0,258.0,10029.0,24,10029.0,6933.0,999.0
145,nuevo,15,3799.0,799.0,300.0,5299.0,16,5299.0,5299.0,799.0
147,nuevo,43,5299.0,999.0,230.0,10889.0,25,10889.0,6519.0,999.0
148,nuevo,15,3799.0,799.0,300.0,5299.0,16,5299.0,5299.0,799.0
149,nuevo,15,3799.0,799.0,300.0,5299.0,16,5299.0,5299.0,799.0
150,nuevo,26,4099.0,999.0,226.54,6889.0,20,6889.0,5303.26,999.0
151,nuevo,20,9099.0,1249.5,392.48,9099.0,21,9099.0,9099.0,1249.5
154,nuevo,43,3799.0,799.0,160.47,7699.0,23,7699.0,4329.34,799.0
155,nuevo,35,5899.0,1249.0,279.0,11014.0,22,11014.0,7108.0,1249.0
156,nuevo,35,5799.0,1249.0,273.0,10804.0,22,10804.0,6982.0,1249.0
159,nuevo,15,4099.0,999.0,310.0,5649.0,16,5649.0,5649.0,999.0
162,nuevo,15,3799.0,799.0,300.0,5299.0,16,5299.0,5299.0,799.0
163,nuevo,43,3799.0,799.0,160.47,7699.0,25,7699.0,4650.28,799.0
164,nuevo,43,3799.0,799.0,160.47,7699.0,25,7699.0,4650.28,799.0
167,nuevo,35,5499.0,1249.0,255.0,10174.0,27,10174.0,7879.0,1249.0
168,nuevo,35,6099.0,1249.0,291.0,11434.0,27,11434.0,8815.0,1249.0
169,nuevo,15,5299.0,999.0,430.0,7449.0,16,7449.0,7449.0,999.0
170,nuevo,50,8133.0,0.0,162.66,8133.0,9,8133.0,1301.28,0.0
171,nuevo,20,6099.0,624.5,273.73,6099.0,21,6099.0,6099.0,624.5
172,nuevo,43,5299.0,999.0,230.0,10889.0,27,10889.0,6979.0,999.0
173,nuevo,15,5299.0,999.0,430.0,7449.0,16,7449.0,7449.0,999.0
174,nuevo,26,3799.0,399.5,209.2,5838.7,27,5838.7,5838.7,399.5
175,nuevo,26,5299.0,999.0,314.23,9169.0,25,9169.0,8540.52,999.0
176,nuevo,15,5299.0,999.0,430.0,7449.0,16,7449.0,7449.0,999.0
179,nuevo,15,5299.0,999.0,430.0,7449.0,16,7449.0,7449.0,999.0
180,nuevo,43,3799.0,799.0,160.47,7699.0,28,7699.0,5131.69,799.0
181,nuevo,43,5299.0,999.0,230.0,10889.0,28,10889.0,7209.0,999.0
182,nuevo,15,6299.0,1249.0,505.0,8824.0,16,8824.0,8824.0,1249.0
183,nuevo,15,3799.0,799.0,300.0,5299.0,16,5299.0,5299.0,799.0
184,nuevo,26,3699.0,799.0,211.92,6309.0,27,6309.0,6309.0,799.0
185,nuevo,35,3799.0,799.0,180.0,7099.0,30,7099.0,6019.0,799.0
186,nuevo,35,5799.0,1249.0,273.0,10804.0,28,10804.0,8620.0,1249.0
187,nuevo,26,3799.0,799.0,219.23,6499.0,27,6499.0,6499.0,799.0
188,nuevo,15,5299.0,999.0,430.0,7449.0,16,7449.0,7449.0,999.0
189,nuevo,26,3799.0,799.0,219.23,6499.0,27,6499.0,6499.0,799.0
191,nuevo,20,6499.0,0.0,324.95,6499.0,21,6499.0,6499.0,0.0
192,nuevo,20,3700.0,400.0,165.0,3700.0,21,3700.0,3700.0,400.0
193,nuevo,15,3799.0,799.0,300.0,5299.0,16,5299.0,5299.0,799.0
194,nuevo,20,3799.0,399.5,169.98,3799.0,21,3799.0,3799.0,399.5
195,nuevo,15,3799.0,399.5,339.95,5498.75,16,5498.75,5498.75,399.5
197,nuevo,43,3799.0,799.0,160.47,7699.0,32,7699.0,5773.57,799.0
198,nuevo,15,3799.0,799.0,300.0,5299.0,16,5299.0,5299.0,799.0
199,nuevo,43,3799.0,399.5,134.4,6178.65,32,6178.650000000001,4565.900000000001,399.5
205,nuevo,35,3799.0,799.0,180.0,7099.0,31,7099.0,6199.0,799.0
207,nuevo,20,8299.0,999.5,364.98,8299.0,21,8299.0,8299.0,999.5
209,nuevo,15,3799.0,399.5,339.95,5498.75,16,5498.75,5498.75,399.5
212,nuevo,35,6499.0,1249.0,315.0,12274.0,34,12274.0,11644.0,1249.0
213,nuevo,43,5299.0,999.0,230.0,10889.0,34,10889.0,8589.0,999.0
214,nuevo,43,5299.0,999.0,230.0,10889.0,34,10889.0,8589.0,999.0
215,nuevo,20,6599.0,624.5,298.73,6599.0,21,6599.0,6599.0,624.5
216,nuevo,15,5299.0,999.0,430.0,7449.0,16,7449.0,7449.0,999.0
217,nuevo,35,3799.0,799.0,180.0,7099.0,33,7099.0,6559.0,799.0
219,nuevo,43,7599.0,1000.0,153.47,7599.0,39,7599.0,6831.86,1000.0
220,nuevo,43,5299.0,999.0,230.0,10889.0,38,10889.0,9509.0,999.0
221,nuevo,43,8299.0,999.0,288.6,13409.0,37,13409.000000000002,11388.6,999.0
222,nuevo,35,3799.0,799.0,180.0,7099.0,36,7099.0,7099.0,799.0
223,nuevo,26,5299.0,999.0,314.23,9169.0,27,9169.0,9169.0,999.0
224,nuevo,20,5299.0,999.0,215.0,5299.0,21,5299.0,5299.0,999.0
228,nuevo,20,6499.0,750.0,287.45,6499.0,21,6499.0,6499.0,750.0
231,nuevo,26,9199.0,2499.0,489.62,15229.0,27,15229.0,15229.0,2499.0
233,nuevo,20,9199.0,1249.0,397.5,9199.0,21,9199.0,9199.0,1249.0
235,nuevo,26,5299.0,999.0,314.23,9169.0,27,9169.0,9169.0,999.0
238,nuevo,35,5299.0,999.0,258.0,10029.0,34,10029.0,9513.0,999.0
240,nuevo,26,6499.0,0.0,350.02,9100.55,1,9100.55,0.0,0.0
241,nuevo,13,7699.0,1720.0,678.06,10534.84,1,10534.84,1720.0,1720.0
242,nuevo,15,3999.0,799.0,320.0,5599.0,8,5599.0,3039.0,799.0
