folio,pagoMontoEsperado,pagoMontoRecibido,montoFijadoPagado,montoEsperadoPagado,folio,precio,anticipo,semanal,total
9,6239.0,5030.120000000001,6239.0,6239.0,19,3999.0,799.0,302.22,6239.0
14,18146.39,3631.6,18146.39,5185.2,36,10999.0,0.0,518.52,18148.35
17,20349.08,2499.0,20349.08,3009.0,36,10999.0,2499.0,510.0,20349.08
18,14958.3,3130.83,14958.3,4522.31,44,8799.0,0.0,347.87,14958.3
23,5599.0,1759.0,5599.0,2079.0,16,3999.0,799.0,320.0,5599.0
26,13094.03,2626.3500000000004,13094.03,3452.76,44,6399.0,1249.0,275.47,13094.03
32,9348.300000000001,3261.0,9348.300000000001,3913.2000000000003,44,5499.0,0.0,217.4,9348.3
39,15013.35,3860.5499999999997,15013.35,4718.45,36,9099.0,0.0,428.95,15013.35
40,8073.96,1249.0,8073.96,1249.0,16,5799.0,1249.0,455.0,8073.96
41,14848.5,0.0,14848.5,0.0,16,9899.0,0.0,989.9,14848.5
42,7538.74,3366.71,7538.74,3526.99,44,3799.0,799.0,160.47,7699.02
43,8159.0199999999995,2339.44,8159.0199999999995,2339.44,44,3999.0,799.0,171.16,8159.02
46,7519.0,2911.0,7519.0,3295.0,36,3999.0,799.0,192.0,7519.0
48,6499.0,799.0,6499.0,6055.0,27,3799.0,799.0,219.0,6499.0
59,10659.02,2609.0,10659.02,2379.0,44,5299.0,999.0,230.0,10889.02
61,8028.92,7664.0,8028.92,8028.92,16,5799.0,1249.0,455.0,8073.96
64,14958.3,0.0,14958.3,1043.6100000000001,44,8799.0,0.0,347.87,14958.3
66,6239.0,799.0,6239.0,1705.66,19,3999.0,799.0,302.22,6239.0
69,9421.5,624.0,9421.5,2056.13,44,5799.0,624.0,204.59,9421.5
71,17598.4,0.0,17598.4,4061.16,27,10999.0,0.0,676.86,17598.4
72,10174.0,1249.0,10174.0,3034.0,36,5499.0,1249.0,255.0,10174.0
74,6879.0,799.0,6879.0,2202.1,27,3999.0,799.0,233.85,6879.0
76,4400.0,600.0,4400.0,2500.0,11,4400.0,600.0,380.0,4400.0
77,6879.0,799.0,6879.0,2202.1,27,3999.0,799.0,233.85,6879.0
80,9953.19,549.9,9953.19,3804.9300000000003,27,5499.0,549.9,361.67,9953.19
81,14558.400000000001,0.0,14558.400000000001,4479.52,27,9099.0,0.0,559.94,14558.4
89,7699.0,799.0,7699.0,3045.58,44,3799.0,799.0,160.47,7699.0
90,5599.0,799.0,5599.0,5599.0,16,3999.0,799.0,320.0,5599.0
91,10029.0,999.0,10029.0,4611.0,36,5299.0,999.0,258.0,10029.0
93,10794.0,1249.0,10794.0,4134.74,44,5399.0,1249.0,221.98,10794.0
96,6499.0,799.0,6499.0,3210.5299999999997,27,3799.0,799.0,219.23,6499.0
97,2220.0,200.0,2220.0,2220.0,13,2200.0,200.0,168.33,2220.0
100,6499.0,799.0,6499.0,3648.99,27,3799.0,799.0,219.23,6499.0
103,8373.5,1250.0,8373.5,8373.5,16,5999.0,1250.0,474.9,8373.5
104,5599.0,799.0,5599.0,5599.0,16,3999.0,799.0,320.0,5599.0
105,7699.0,799.0,7699.0,3206.05,44,3799.0,799.0,160.47,7699.0
109,7519.0,799.0,7519.0,3679.0,36,3999.0,799.0,192.0,7519.0
111,5899.0,799.0,5899.0,5615.61,19,3799.0,799.0,283.33,5899.0
113,10119.0,999.0,10119.0,6611.32,27,5799.0,999.0,350.77,10119.0
115,5299.0,799.0,5299.0,5299.0,16,3799.0,799.0,300.0,5299.0
116,6239.0,799.0,6239.0,5936.740000000001,19,3999.0,799.0,302.22,6239.0
123,7699.0,799.0,7699.0,3206.05,44,3799.0,799.0,160.47,7699.0
124,11499.0,999.0,11499.0,5499.0,36,5999.0,999.0,300.0,11499.0
125,5899.0,624.5,5899.0,4580.450000000001,21,5899.0,624.5,263.73,5899.0
126,16279.0,1999.0,16279.0,8119.0,36,8799.0,1999.0,408.0,16279.0
128,9123.75,1249.5,9123.75,9123.75,16,6499.0,1249.5,524.95,9123.75
130,5899.0,799.0,5899.0,5899.0,19,3799.0,799.0,283.33,5899.0
131,7519.0,799.0,7519.0,4255.0,36,3999.0,799.0,192.0,7519.0
132,7699.0,799.0,7699.0,3526.99,44,3799.0,799.0,160.47,7699.0
133,5299.0,799.0,5299.0,5299.0,16,3799.0,799.0,300.0,5299.0
140,5299.0,799.0,5299.0,5299.0,16,3799.0,799.0,300.0,5299.0
141,5668.7300000000005,399.5,5668.7300000000005,5668.7300000000005,19,3799.0,399.5,292.73,5668.73
142,10889.0,999.0,10889.0,6289.0,44,5299.0,999.0,230.0,10889.0
143,10029.0,999.0,10029.0,6933.0,36,5299.0,999.0,258.0,10029.0
145,5299.0,799.0,5299.0,5299.0,16,3799.0,799.0,300.0,5299.0
147,10889.0,999.0,10889.0,6519.0,44,5299.0,999.0,230.0,10889.0
148,5299.0,799.0,5299.0,5299.0,16,3799.0,799.0,300.0,5299.0
149,5299.0,799.0,5299.0,5299.0,16,3799.0,799.0,300.0,5299.0
150,6889.0,999.0,6889.0,5303.26,27,4099.0,999.0,226.54,6889.0
151,9099.0,1249.5,9099.0,9099.0,21,9099.0,1249.5,392.48,9099.0
154,7699.0,799.0,7699.0,4329.34,44,3799.0,799.0,160.47,7699.0
155,11014.0,1249.0,11014.0,7108.0,36,5899.0,1249.0,279.0,11014.0
156,10804.0,1249.0,10804.0,6982.0,36,5799.0,1249.0,273.0,10804.0
159,5649.0,999.0,5649.0,5649.0,16,4099.0,999.0,310.0,5649.0
162,5299.0,799.0,5299.0,5299.0,16,3799.0,799.0,300.0,5299.0
163,7699.0,799.0,7699.0,4650.28,44,3799.0,799.0,160.47,7699.0
164,7699.0,799.0,7699.0,4650.28,44,3799.0,799.0,160.47,7699.0
167,10174.0,1249.0,10174.0,7879.0,36,5499.0,1249.0,255.0,10174.0
168,11434.0,1249.0,11434.0,8815.0,36,6099.0,1249.0,291.0,11434.0
169,7449.0,999.0,7449.0,7449.0,16,5299.0,999.0,430.0,7449.0
170,8133.0,0.0,8133.0,1301.28,51,8133.0,0.0,162.66,8133.0
171,6099.0,624.5,6099.0,6099.0,21,6099.0,624.5,273.73,6099.0
172,10889.0,999.0,10889.0,6979.0,44,5299.0,999.0,230.0,10889.0
173,7449.0,999.0,7449.0,7449.0,16,5299.0,999.0,430.0,7449.0
174,5838.7,399.5,5838.7,5838.7,27,3799.0,399.5,209.2,5838.7
175,9169.0,999.0,9169.0,8540.52,27,5299.0,999.0,314.23,9169.0
176,7449.0,999.0,7449.0,7449.0,16,5299.0,999.0,430.0,7449.0
179,7449.0,999.0,7449.0,7449.0,16,5299.0,999.0,430.0,7449.0
180,7699.0,799.0,7699.0,5131.69,44,3799.0,799.0,160.47,7699.0
181,10889.0,999.0,10889.0,7209.0,44,5299.0,999.0,230.0,10889.0
182,8824.0,1249.0,8824.0,8824.0,16,6299.0,1249.0,505.0,8824.0
